canton,fuel_type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
JU,Fossil,37594,38668,38926,38985,39713,40316,41108,42234,43108,44439,44799,45725,46256,47134,47851,48392,48504,49521,50136,50151,50981,52170,53051,54102,54268,55043,55950,56747,57310,57860,58406,59012,59068,59307,59400
JU,Electricity,5,4,3,1,1,0,0,1,0,2,3,4,7,7,7,8,9,10,8,8,10,14,41,68,79,82,99,126,139,199,332,591,940,1351,1648
JU,% EV vs Fossil,0.0132999946800021,0.0103444708803145,0.00770693110003597,0.00256508913684751,0.00251806713166973,0,0,0.00236776057205095,0,0.0045005513175364,0.00669657804861716,0.00874794969928923,0.0151331719128329,0.0148512750880469,0.0146287433909427,0.01653165812531,0.0185551707075705,0.0201934532824458,0.015956598053295,0.0159518254870292,0.0196151507424335,0.0268353459842822,0.0772841228252059,0.125688514287827,0.14557381882509,0.148974438166524,0.176943699731904,0.222038169418648,0.242540568836154,0.343933632907017,0.568434749854467,1.00149122212431,1.59138619895713,2.27797730453404,2.77441077441078
LU,Fossil,166792,171762,175584,178821,182727,186412,190047,193350,197494,202994,208489,214629,219883,222811,227257,230745,233663,239131,243569,245298,252390,259228,266118,271521,277612,283818,289605,294700,296085,298847,302096,305403,305514,306222,307186
LU,Electricity,69,120,128,132,133,123,123,116,117,121,119,164,129,109,118,120,113,120,123,134,177,251,308,374,490,641,881,1129,1323,1795,2560,3908,5841,8344,11210
LU,% EV vs Fossil,0.0413688905942731,0.069864114297691,0.0728995808274102,0.0738168335933699,0.0727861782878283,0.065982876638843,0.0647208322151889,0.0599948280320662,0.0592423060953751,0.0596076731331961,0.057077351802733,0.0764109230346319,0.0586675641136423,0.04892038543878,0.0519235931126434,0.0520054605733602,0.0483602453105541,0.0501816995705283,0.0504990372338023,0.054627432755261,0.0701295613930821,0.0968259601586248,0.115738131204954,0.137742568714759,0.176505338385949,0.225848959544497,0.304207454981786,0.38310145911096,0.44683114646132,0.600641799984608,0.847412742969122,1.27962069789753,1.91186001296176,2.72482055502217,3.64925484885379
NE,Fossil,91356,93463,93016,93036,93838,95459,97912,98793,99992,101622,103641,105159,106872,107753,109048,109347,108508,109642,110545,111158,112823,115098,117362,119019,119230,120750,122040,122633,122583,122488,122955,123877,123134,122927,122988
NE,Electricity,17,22,22,16,16,15,16,26,40,28,29,32,66,68,71,73,76,74,83,91,94,99,119,127,148,191,227,261,314,469,711,1151,1845,2622,3360
NE,% EV vs Fossil,0.0186085205131573,0.0235387265548934,0.0236518448438978,0.0171976439227826,0.0170506617788103,0.015713552415173,0.0163412043467604,0.0263176540848036,0.0400032002560205,0.0275530888980733,0.02798120434963,0.0304301105944332,0.0617561194700202,0.0631072916763339,0.0651089428508547,0.0667599476894656,0.0700409186419435,0.0674923843052845,0.0750825455696775,0.0818654527789273,0.0833163450714837,0.0860136579262889,0.101395681736848,0.10670565203875,0.124129833095697,0.158178053830228,0.186004588659456,0.212830151753606,0.256152973903396,0.382894650904578,0.578260339148469,0.929147460787717,1.49836763201066,2.13297322801337,2.73197385110743
NW,Fossil,19452,20515,20825,21300,21695,22207,20911,24024,24261,25215,26110,27046,27717,28092,28813,28909,28748,29441,29659,30841,31506,32126,32675,33419,33914,34414,34966,35311,35667,35808,36328,36936,36938,37277,37316
NW,Electricity,5,6,7,7,10,9,11,9,10,11,11,13,14,13,13,13,17,14,15,11,14,15,23,27,48,62,93,133,171,251,372,568,823,1140,1455
NW,% EV vs Fossil,0.0257042977585852,0.02924689251767,0.0336134453781513,0.0328638497652582,0.0460935699469924,0.0405277615166389,0.0526038926880589,0.0374625374625375,0.0412184163884424,0.0436248264921674,0.0421294523171199,0.048066257487244,0.0505105170112206,0.0462765200056956,0.0451185228889737,0.0449686948701097,0.0591345484903298,0.0475527325838117,0.0505748676624296,0.0356668071722707,0.0444359804481686,0.0466911535827679,0.0703902065799541,0.0807923636254825,0.141534469540603,0.180159237519614,0.265972659154607,0.37665316756818,0.479434771637648,0.700960679177837,1.02400352345298,1.53779510504657,2.2280578266284,3.05818601282292,3.89913173973631
OW,Fossil,16251,17144,17557,17919,18460,19155,17534,20231,20761,21793,22248,22917,23573,24134,24414,24314,24483,25150,25481,26556,27448,28166,28980,29477,30010,30548,30999,31409,31874,32187,32563,32985,33004,33400,33615
OW,Electricity,5,8,9,8,9,8,7,7,8,11,11,10,9,7,8,7,5,6,7,7,10,13,18,28,46,64,83,109,151,211,280,400,586,781,991
OW,% EV vs Fossil,0.0307673373946219,0.0466635557629491,0.0512616050578117,0.0446453485127518,0.0487540628385699,0.0417645523362047,0.039922436409262,0.0346003657752953,0.0385337893165069,0.050474923140458,0.0494426465300252,0.0436357289348519,0.0381792728969584,0.0290047236264192,0.0327680838862948,0.0287899975322859,0.020422333864314,0.0238568588469185,0.027471449315176,0.0263593914746197,0.03643252696007,0.0461549385784279,0.062111801242236,0.0949893137022085,0.153282239253582,0.209506350661254,0.267750572599116,0.347034289534847,0.473740352638514,0.655544163792836,0.859871633449007,1.21267242686069,1.775542358502,2.33832335329341,2.9480886508999
SG,Fossil,213088,219645,224064,226922,232852,239191,244037,247997,253828,261074,267840,275662,282927,288676,294405,296839,304233,307284,309585,317660,327231,336261,344992,351622,357222,361877,366869,370749,374208,377402,382931,386596,386412,389662,390064
SG,Electricity,113,187,192,197,193,189,176,174,171,161,161,138,145,144,154,154,169,180,202,222,236,326,443,560,689,867,1117,1372,1745,2520,3568,5597,8478,11497,14190
SG,% EV vs Fossil,0.0530297341943235,0.0851373807735209,0.0856898029134533,0.0868139713205419,0.0828852661776579,0.0790163509496595,0.0721202112794371,0.0701621390581338,0.0673684542288479,0.0616683392448118,0.060110513739546,0.0500613069628748,0.0512499690732945,0.0498829137164156,0.0523088942103565,0.0518799753401676,0.0555495294724767,0.0585777326512282,0.06524863930746,0.0698860416797834,0.0721203064501835,0.0969485013129682,0.128408774696225,0.159261934691231,0.192877258399539,0.239584168101316,0.304468352463686,0.370061685938465,0.466318197366171,0.66772301153677,0.931760552162139,1.44776459145982,2.1940312412658,2.95050582299531,3.63786455556011
SH,Fossil,39680,41350,41751,42113,42611,43178,44582,44641,45525,46628,47792,48981,50207,51225,51938,52494,51456,52439,53563,52853,54334,55818,57037,58096,59297,60157,61059,61780,62290,62871,63966,64771,65117,66251,66887
SH,Electricity,29,48,49,53,54,49,43,41,43,46,43,41,48,45,49,41,41,45,46,54,55,70,94,106,133,160,200,246,335,442,606,903,1356,1752,2226
SH,% EV vs Fossil,0.0730846774193548,0.116082224909311,0.11736245838423,0.125851874718021,0.126727840229049,0.113483718560378,0.0964514826611637,0.0918438207029412,0.0944535969247666,0.0986531697692374,0.0899732172748577,0.0837059267879382,0.0956041986177226,0.0878477306002928,0.0943432554199238,0.0781041642854422,0.0796797263681592,0.0858139934018574,0.0858801784814144,0.102170170094413,0.101225751831266,0.125407574617507,0.164805301821625,0.182456623519692,0.224294652343289,0.265970709975564,0.327552039830328,0.398187115571382,0.537807031626264,0.703026832720968,0.94737829471907,1.39414244028964,2.08240551622464,2.64448838508098,3.32800095683765
SZ,Fossil,66554,69194,70470,72598,74864,77384,79113,81225,83427,86538,89206,92692,95718,97955,100481,102289,100971,105224,107766,109178,112899,116001,119204,121223,123785,126377,129353,131411,133433,135506,138013,140464,140698,142006,142543
SZ,Electricity,26,40,45,45,46,48,45,46,51,49,47,50,47,45,41,43,44,44,49,57,72,92,130,158,223,312,419,542,707,1025,1490,2156,3158,4220,5322
SZ,% EV vs Fossil,0.0390660215764642,0.05780848050409,0.0638569604086846,0.0619851786550594,0.061444753152383,0.0620283262689962,0.0568806643661598,0.056632810095414,0.0611312884318027,0.056622524209018,0.0526870389884089,0.0539420877745652,0.0491025721389916,0.0459394619978562,0.0408037340392711,0.0420377557704152,0.0435768686058373,0.0418155553866038,0.0454688862906668,0.0522083203575812,0.0637738155342386,0.079309661123611,0.109056743062313,0.130338302137383,0.180151068384699,0.246880365889363,0.323919816316591,0.412446446644497,0.529853934184197,0.756424069782888,1.07960844268294,1.53491286023465,2.24452373168062,2.97170542089771,3.73361020884926
SO,Fossil,124828,131606,133707,132261,134710,138281,140786,143211,147321,151488,155468,159667,163640,166920,169200,172627,172253,174830,176418,176977,181357,184900,189288,192091,194950,197894,201226,203136,205029,207141,209601,211379,211657,212400,213074
SO,Electricity,53,69,77,78,93,98,94,86,87,86,78,82,75,83,84,83,84,93,102,179,208,187,218,273,360,434,520,660,796,1192,1661,2578,3863,5441,6998
SO,% EV vs Fossil,0.0424584227897587,0.0524292205522545,0.0575886079262866,0.058974300814299,0.0690371910028951,0.0708701846240626,0.0667680025002486,0.0600512530462046,0.0590547172500865,0.0567701732150401,0.0501710963027761,0.0513568865200699,0.0458323148374481,0.0497244188832974,0.049645390070922,0.0480805435997845,0.048765478685422,0.0531945318309215,0.0578172295344013,0.101143086389757,0.114690913502098,0.101135749053543,0.115168420607751,0.142120140974851,0.184662734034368,0.21930932721558,0.258415910468826,0.324905482041588,0.388237761487399,0.575453435099763,0.792458051249756,1.2196102734898,1.82512272214007,2.56167608286252,3.28430498324526
TG,Fossil,120408,124364,127752,130355,134733,138140,140606,143219,145840,150384,154828,159160,162888,166587,169271,171113,176406,178528,185445,195735,192537,198657,205072,209788,214899,220464,225197,229813,233447,236057,240137,243368,243471,245779,247293
TG,Electricity,66,98,108,113,112,112,103,108,109,107,100,93,107,106,107,94,109,114,124,143,165,190,277,354,443,573,718,930,1103,1726,2342,3728,5456,7339,9233
TG,% EV vs Fossil,0.0548136336456049,0.0788009391785404,0.0845387939132068,0.0866863564880519,0.0831273704289224,0.0810771680903431,0.073254341919975,0.075408989030785,0.0747394404827208,0.0711511862964145,0.0645878006562121,0.0584317667755718,0.0656893079907667,0.0636304153385318,0.0632122454525583,0.0549344585157177,0.0617892815437117,0.0638555296648145,0.0668661867400038,0.0730579610187243,0.0856978139266738,0.0956422376256563,0.135074510415854,0.168741777413389,0.206143351062592,0.259906379272807,0.318831956020729,0.404676845957365,0.472484118450869,0.731179333804971,0.975276612933451,1.53183656027087,2.24092397041126,2.98601589232603,3.73362772096258
TI,Fossil,186890,191899,197428,200807,205608,210296,213907,218204,223707,229401,234831,240663,244590,245834,250439,254192,257692,263086,266339,269888,274573,280641,286077,290968,295991,300840,304455,305934,305200,303290,301825,302443,300799,299082,300370
TI,Electricity,23,33,38,33,40,59,88,107,129,193,315,334,412,495,528,514,475,434,446,449,456,532,529,549,649,787,902,1027,1201,1555,2284,3693,5537,7382,9127
TI,% EV vs Fossil,0.0123067044785703,0.0171965460997712,0.0192475231476792,0.0164336900606055,0.0194544959340104,0.0280556929280633,0.0411393736530361,0.0490366812707375,0.0576647132186297,0.0841321528676858,0.134139019124392,0.138783277861574,0.168445153113373,0.201355386154885,0.210829782901225,0.202209353559514,0.18432857830278,0.164965068456702,0.167455761266656,0.166365307090349,0.166076052634454,0.189566029197444,0.184915250090011,0.188680542190207,0.21926342355004,0.261600850950672,0.296267100228277,0.335693319474135,0.3935124508519,0.512710607009793,0.756729893150004,1.22105652966013,1.8407640982849,2.46821941808601,3.03858574424876
UR,Fossil,17023,17643,17746,18034,18460,18883,16987,19756,19986,21196,21075,21535,22032,22472,22650,22634,21990,22261,22385,23521,24101,24626,25247,25672,25976,26446,26786,27145,27443,27794,28025,28196,28067,28418,28485
UR,Electricity,1,4,4,3,4,4,3,4,3,7,6,5,4,7,8,6,6,8,8,10,11,11,24,32,43,51,72,74,88,113,157,258,395,554,734
UR,% EV vs Fossil,0.00587440521647183,0.0226718811993425,0.0225402907697509,0.0166352445380947,0.0216684723726977,0.0211830747232961,0.0176605639606758,0.0202470135654991,0.0150105073551486,0.0330250990752972,0.0284697508896797,0.0232180171813327,0.0181554103122731,0.0311498754004984,0.0353200883002208,0.0265087920827074,0.0272851296043656,0.0359372894299448,0.0357382175563994,0.0425151991837082,0.0456412596987677,0.0446682368228701,0.0950607993028875,0.124649423496416,0.165537419156144,0.192845798986614,0.268797132830583,0.272610057100755,0.320664650366214,0.406562567460603,0.56021409455843,0.915023407575543,1.40734670609613,1.94946864663242,2.57679480428296
VS,Fossil,151334,158241,161820,163301,166407,169510,173889,177164,182079,187343,191486,196930,202317,207415,211074,215638,222414,226616,229252,236523,242170,249597,257430,261926,266865,272940,278868,284170,288783,291205,295575,301096,301934,304896,307779
VS,Electricity,633,661,694,723,746,770,780,797,820,867,863,834,858,867,865,886,931,933,920,948,996,1065,1127,1176,1228,1344,1494,1671,1828,2209,2667,4054,6486,8391,10357
VS,% EV vs Fossil,0.418280095682398,0.417717279339741,0.42887158571252,0.442740705813192,0.448298448983516,0.45425048669695,0.448562013698394,0.449865661195277,0.450353967234003,0.462787507406201,0.450685689815443,0.423500736302239,0.424086952653509,0.418002555263602,0.409808882192975,0.410873779204036,0.418588757901931,0.41170967628058,0.401305114022997,0.400806686876118,0.411281331296197,0.426687820767077,0.437788913491046,0.448981773478005,0.460157757667735,0.492415915585843,0.535737338095443,0.58802829292325,0.633001250073585,0.758572139901444,0.902309058614565,1.34641443260621,2.14815158279624,2.75208595717884,3.36507688958636
VD,Fossil,340201,348626,350825,351102,356611,362461,368364,376041,384748,397834,408963,419116,426458,434703,442778,445462,443006,448712,456272,451469,462852,473881,485624,493803,502338,511492,520574,526868,531596,532608,538179,542751,538346,538510,536932
VD,Electricity,74,86,79,87,92,87,88,91,127,171,196,222,229,246,250,258,252,255,273,310,334,390,555,672,789,979,1253,1618,2019,3076,4930,8045,12469,17101,21646
VD,% EV vs Fossil,0.0217518467023906,0.0246682691480268,0.0225183496045037,0.0247791240152434,0.0257984190055831,0.0240025823467904,0.0238894137320694,0.0241994888855205,0.033008618628297,0.0429827515999135,0.047926096003795,0.0529686292100516,0.0536981367450019,0.0565903616952264,0.0564617031559834,0.0579173981170111,0.0568841054071502,0.0568293248230491,0.0598327313532279,0.0686647366707349,0.072161295619334,0.0822991426117527,0.114285949623577,0.136086658039745,0.157065561434731,0.191400843023938,0.240695847276276,0.307097792995589,0.379799697514654,0.577535448209565,0.91605209419171,1.48226350573283,2.31616841213643,3.17561419472248,4.0314229734864
ZG,Fossil,49254,51390,52013,53451,54855,56328,58348,60241,62673,65258,67901,70498,72577,74245,75584,77780,77633,79429,81448,81876,84055,86439,89041,91199,93736,96309,98842,101323,106062,107491,110831,113979,115805,117599,118538
ZG,Electricity,17,27,28,37,41,37,33,36,36,34,35,35,35,43,42,41,29,29,36,44,54,136,159,169,233,325,448,576,1052,1581,2001,3195,4794,7264,10076
ZG,% EV vs Fossil,0.0345149632517156,0.0525394045534151,0.0538326956722358,0.0692222783483939,0.0747425029623553,0.0656866922312172,0.0565572084732982,0.0597599641440215,0.0574410033028577,0.0521008918446781,0.0515456326121854,0.0496467984907373,0.0482246441710184,0.057916358003906,0.055567315834039,0.0527127796348676,0.037355248412402,0.0365105943672966,0.0441999803555643,0.0537398016512775,0.0642436499910773,0.157336387510267,0.178569423074763,0.185309049441332,0.248570453187676,0.337455481834512,0.453248619008114,0.568479022531903,0.9918726782448,1.47082081290527,1.80545154334076,2.80314794830627,4.13971762877251,6.17692327315709,8.50022777505947
ZH,Fossil,624991,635099,640347,640879,648393,662872,674221,683775,699675,716955,734799,755714,770654,780292,796127,816946,828623,850945,842495,835034,848703,864789,882534,893377,903205,921361,933756,941273,946432,950076,957515,965971,960481,962958,959443
ZH,Electricity,451,653,694,691,678,647,639,669,670,648,633,614,616,599,617,625,585,589,639,697,919,1133,1669,2187,2805,4048,4764,5795,7266,9408,12931,18987,27127,37277,48156
ZH,% EV vs Fossil,0.0721610391189633,0.10281861568039,0.108378738402772,0.107820665055338,0.104566212158367,0.0976055709096175,0.0947760452433253,0.0978392014917188,0.0957587451316683,0.090382241563278,0.086146007275459,0.0812476677684944,0.0799321096107981,0.0767661337037929,0.0775001978327578,0.0765044446022136,0.0705990540933573,0.0692171644465859,0.075846147454881,0.0834696551278152,0.108282873985364,0.131014617438474,0.189114527032386,0.244801466793974,0.310560725416711,0.439350048460918,0.510197524835182,0.615655606821825,0.767725520692453,0.99023657054804,1.35047492728573,1.9655869586147,2.82431406763903,3.87109302794099,5.01916215971142
