,year,GDP,Name,pop,pollution,temp,precip,Canton,% EV vs Fossil,Electricity,Fossil
47,2002,0.3512,GE_Meyrin_suburban,413618.0,,6.08,1336.4,GE,0.0335625584666909,94.0,280074.0
48,2002,0.7459,LU_Rigi_rural,350017.0,,6.08,1907.8,LU,0.0586675641136423,129.0,219883.0
49,2002,-0.4657,NE_Chaumont_rural,166227.0,,6.08,1466.3,NE,0.0617561194700202,66.0,106872.0
50,2002,0.392,TG_Taenikon_rural,228206.0,,6.08,1079.7,TG,0.0656893079907667,107.0,162888.0
51,2002,-0.2378,TI_Lugano_urban,312528.0,,6.08,2809.3,TI,0.168445153113373,412.0,244590.0
52,2002,0.2054,VD_Lausanne_urban,624980.0,,6.08,1352.1,VD,0.0536981367450019,229.0,426458.0
53,2002,-0.5768,VS_Saxon_rural,278419.0,,6.08,944.4,VS,0.424086952653509,858.0,202317.0
54,2002,-1.3761,ZH_Zuerich_urban,1226931.0,,6.08,1364.0,ZH,0.0799321096107981,616.0,770654.0
55,2003,-0.0718,BE_Bern_urban,949534.0,,6.24,840.4,BE,0.177759246822772,1117.0,628378.0
56,2003,-0.3809,BL_BaselBinningen_suburban,262949.0,,6.24,820.8,BL,0.0823445971125296,137.0,166374.0
57,2003,0.8147,BS_Basel_urban,186719.0,,6.24,820.8,BS,0.165875910183073,136.0,81989.0
58,2003,1.1639,GE_Meyrin_suburban,418747.0,,6.24,916.0,GE,0.0316502437068765,90.0,284358.0
59,2003,0.2809,LU_Rigi_rural,351889.0,,6.24,1231.8,LU,0.04892038543878,109.0,222811.0
60,2003,-0.6283,NE_Chaumont_rural,166767.0,,6.24,972.5,NE,0.0631072916763339,68.0,107753.0
61,2003,-0.2189,TG_Taenikon_rural,229904.0,,6.24,785.1,TG,0.0636304153385318,106.0,166587.0
62,2003,0.3643,TI_Lugano_urban,315256.0,,6.24,1299.9,TI,0.201355386154885,495.0,245834.0
63,2003,0.6401,VD_Lausanne_urban,631039.0,,6.24,884.6,VD,0.0565903616952264,246.0,434703.0
64,2003,-0.4233,VS_Saxon_rural,281345.0,,6.24,597.0,VS,0.418002555263602,867.0,207415.0
65,2003,-0.4054,ZH_Zuerich_urban,1241312.0,,6.24,861.4,ZH,0.0767661337037929,599.0,780292.0
66,2004,1.978,BE_Bern_urban,951903.0,,5.4,1068.6,BE,0.174296655731944,1111.0,637419.0
67,2004,2.1315,BL_BaselBinningen_suburban,264402.0,,5.4,1230.3,BL,0.0879188770145601,148.0,168337.0
68,2004,3.1841,BS_Basel_urban,186653.0,,5.4,1230.3,BS,0.176902618158749,145.0,81966.0
69,2004,4.3471,GE_Meyrin_suburban,423993.0,,5.4,1203.9,GE,0.0284841895379656,82.0,287879.0
70,2004,2.4294,LU_Rigi_rural,353175.0,,5.4,1494.8,LU,0.0519235931126434,118.0,227257.0
71,2004,1.6669,NE_Chaumont_rural,167047.0,,5.4,1316.9,NE,0.0651089428508547,71.0,109048.0
72,2004,2.1974,TG_Taenikon_rural,231836.0,,5.4,808.0,TG,0.0632122454525583,107.0,169271.0
73,2004,2.4097,TI_Lugano_urban,317315.0,,5.4,1940.4,TI,0.210829782901225,528.0,250439.0
74,2004,3.2554,VD_Lausanne_urban,639105.0,,5.4,966.8,VD,0.0564617031559834,250.0,442778.0
75,2004,1.9143,VS_Saxon_rural,285008.0,,5.4,685.0,VS,0.409808882192975,865.0,211074.0
76,2004,2.389,ZH_Zuerich_urban,1249893.0,,5.4,1189.5,ZH,0.0775001978327578,617.0,796127.0
77,2005,2.0481,BE_Bern_urban,955324.0,,4.99,955.3,BE,0.159899856292534,1027.0,642277.0
78,2005,2.4198,BL_BaselBinningen_suburban,265305.0,,4.99,1118.9,BL,0.084045052883278,142.0,168957.0
79,2005,3.4739,BS_Basel_urban,186753.0,,4.99,1118.9,BS,0.158138754777108,132.0,83471.0
80,2005,3.8912,GE_Meyrin_suburban,427396.0,,4.99,906.6,GE,0.0289537360660145,84.0,290118.0
81,2005,3.0503,LU_Rigi_rural,354731.0,,4.99,1524.0,LU,0.0520054605733602,120.0,230745.0
82,2005,3.2663,NE_Chaumont_rural,167910.0,,4.99,1089.2,NE,0.0667599476894656,73.0,109347.0
83,2005,2.5566,TG_Taenikon_rural,232978.0,,4.99,865.7,TG,0.0549344585157177,94.0,171113.0
84,2005,3.277,TI_Lugano_urban,319931.0,,4.99,1330.3,TI,0.202209353559514,514.0,254192.0
85,2005,2.9212,VD_Lausanne_urban,647382.0,,4.99,860.9,VD,0.0579173981170111,258.0,445462.0
86,2005,2.6033,VS_Saxon_rural,287976.0,,4.99,640.5,VS,0.410873779204036,886.0,215638.0
87,2005,3.1052,ZH_Zuerich_urban,1261810.0,,4.99,1064.2,ZH,0.0765044446022136,625.0,816946.0
88,2006,2.1696,BE_Bern_urban,957013.0,,5.95,1224.8,BE,0.147855347684999,986.0,666868.0
89,2006,4.4865,BL_BaselBinningen_suburban,266089.0,,5.95,1593.2,BL,0.0829197080291971,142.0,171250.0
90,2006,5.8491,BS_Basel_urban,185601.0,,5.95,1593.2,BS,0.149504084014002,123.0,82272.0
91,2006,5.2561,GE_Meyrin_suburban,430638.0,,5.95,1469.9,GE,0.0332593082756781,96.0,288641.0
92,2006,3.304,LU_Rigi_rural,356384.0,,5.95,1527.6,LU,0.0483602453105541,113.0,233663.0
93,2006,4.0593,NE_Chaumont_rural,168444.0,,5.95,1429.8,NE,0.0700409186419435,76.0,108508.0
94,2006,3.4639,TG_Taenikon_rural,234332.0,,5.95,1012.6,TG,0.0617892815437117,109.0,176406.0
95,2006,3.7049,TI_Lugano_urban,322276.0,,5.95,1799.2,TI,0.18432857830278,475.0,257692.0
96,2006,3.8039,VD_Lausanne_urban,654093.0,,5.95,1286.3,VD,0.0568841054071502,252.0,443006.0
97,2006,3.802,VS_Saxon_rural,291575.0,,5.95,733.3,VS,0.418588757901931,931.0,222414.0
98,2006,4.752,ZH_Zuerich_urban,1272590.0,,5.95,1244.5,ZH,0.0705990540933573,585.0,828623.0
99,2007,2.4726,BE_Bern_urban,958845.0,,6.06,1378.4,BE,0.148912891175831,999.0,670862.0
100,2007,3.6057,BL_BaselBinningen_suburban,267166.0,,6.06,1419.9,BL,0.0775623268698061,133.0,171475.0
101,2007,3.8354,BS_Basel_urban,184822.0,,6.06,1419.9,BS,0.142150728370613,117.0,82307.0
102,2007,6.323,GE_Meyrin_suburban,433235.0,,6.06,1450.8,GE,0.0336740078318105,97.0,288056.0
103,2007,2.9923,LU_Rigi_rural,359110.0,,6.06,1766.3,LU,0.0501816995705283,120.0,239131.0
104,2007,3.8333,NE_Chaumont_rural,168912.0,,6.06,1615.2,NE,0.0674923843052845,74.0,109642.0
105,2007,3.2545,TG_Taenikon_rural,235764.0,,6.06,942.5,TG,0.0638555296648145,114.0,178528.0
106,2007,3.4515,TI_Lugano_urban,324851.0,,6.06,1600.4,TI,0.164965068456702,434.0,263086.0
107,2007,4.4974,VD_Lausanne_urban,662145.0,,6.06,1306.5,VD,0.0568293248230491,255.0,448712.0
108,2007,4.0373,VS_Saxon_rural,294608.0,,6.06,1023.2,VS,0.41170967628058,933.0,226616.0
109,2007,4.8781,ZH_Zuerich_urban,1284052.0,,6.06,1200.8,ZH,0.0692171644465859,589.0,850945.0
110,2008,2.569,BE_Bern_urban,962932.0,,5.61,1028.9,BE,0.143861211402507,979.0,680517.0
111,2008,3.0671,BL_BaselBinningen_suburban,269145.0,,5.61,1209.8,BL,0.0789600164786121,138.0,174772.0
112,2008,2.5213,BS_Basel_urban,185227.0,,5.61,1209.8,BS,0.146360190028312,122.0,83356.0
113,2008,2.6112,GE_Meyrin_suburban,438177.0,,5.61,1401.7,GE,0.0522535665689396,149.0,285148.0
114,2008,2.7531,LU_Rigi_rural,363475.0,,5.61,1430.2,LU,0.0504990372338023,123.0,243569.0
115,2008,3.7115,NE_Chaumont_rural,169782.0,,5.61,1330.3,NE,0.0750825455696775,83.0,110545.0
116,2008,2.2605,TG_Taenikon_rural,238316.0,,5.61,965.4,TG,0.0668661867400038,124.0,185445.0
117,2008,2.1647,TI_Lugano_urban,328580.0,,5.61,2839.6,TI,0.167455761266656,446.0,266339.0
118,2008,3.9127,VD_Lausanne_urban,672039.0,,5.61,1170.3,VD,0.0598327313532279,273.0,456272.0
119,2008,3.7633,VS_Saxon_rural,298580.0,,5.61,872.5,VS,0.401305114022997,920.0,229252.0
120,2008,1.6078,ZH_Zuerich_urban,1307567.0,,5.61,1111.5,ZH,0.075846147454881,639.0,842495.0
121,2009,-2.3786,BE_Bern_urban,969250.0,,5.8,1057.9,BE,0.172545749729541,1134.0,657217.0
122,2009,-1.3227,BL_BaselBinningen_suburban,271214.0,,5.8,1242.7,BL,0.0851956222557179,156.0,183108.0
123,2009,-3.1888,BS_Basel_urban,186672.0,,5.8,1242.7,BS,0.140168689971235,115.0,82044.0
