date,canton,GDP,Name
2002,NE,-0.4657,NE_Chaumont_rural
2003,NE,-0.6283,NE_Chaumont_rural
2004,NE,1.6669,NE_Chaumont_rural
2005,NE,3.2663,NE_Chaumont_rural
2006,NE,4.0593,NE_Chaumont_rural
2007,NE,3.8333,NE_Chaumont_rural
2008,NE,3.7115,NE_Chaumont_rural
2009,NE,-7.7377,NE_Chaumont_rural
2010,NE,2.9532,NE_Chaumont_rural
2011,NE,8.5294,NE_Chaumont_rural
2012,NE,2.9643,NE_Chaumont_rural
2013,NE,1.6708,NE_Chaumont_rural
2014,NE,2.5963,NE_Chaumont_rural
2015,NE,2.476,NE_Chaumont_rural
2016,NE,-1.6498,NE_Chaumont_rural
2017,NE,3.3776,NE_Chaumont_rural
2018,NE,4.4176,NE_Chaumont_rural
2019,NE,0.8724,NE_Chaumont_rural
2020,NE,-7.0606,NE_Chaumont_rural
2021,NE,15.6874,NE_Chaumont_rural
2022,NE,5.1729,NE_Chaumont_rural
2023,NE,1.5256,NE_Chaumont_rural
2024,NE,0.1989,NE_Chaumont_rural
1998,TG,2.1605,TG_Taenikon_rural
1999,TG,1.7596,TG_Taenikon_rural
2000,TG,2.5501,TG_Taenikon_rural
2001,TG,2.3988,TG_Taenikon_rural
2002,TG,0.392,TG_Taenikon_rural
2003,TG,-0.2189,TG_Taenikon_rural
2004,TG,2.1974,TG_Taenikon_rural
2005,TG,2.5566,TG_Taenikon_rural
2006,TG,3.4639,TG_Taenikon_rural
2007,TG,3.2545,TG_Taenikon_rural
2008,TG,2.2605,TG_Taenikon_rural
2009,TG,-3.8407,TG_Taenikon_rural
2010,TG,5.2281,TG_Taenikon_rural
2011,TG,3.1803,TG_Taenikon_rural
2012,TG,1.621,TG_Taenikon_rural
2013,TG,1.8461,TG_Taenikon_rural
2014,TG,1.7213,TG_Taenikon_rural
2015,TG,0.3071,TG_Taenikon_rural
2016,TG,2.4599,TG_Taenikon_rural
2017,TG,1.0071,TG_Taenikon_rural
2018,TG,1.8766,TG_Taenikon_rural
2019,TG,1.7494,TG_Taenikon_rural
2020,TG,0.8942,TG_Taenikon_rural
2021,TG,8.2367,TG_Taenikon_rural
2022,TG,1.7447,TG_Taenikon_rural
2023,TG,0.7221,TG_Taenikon_rural
2024,TG,0.2777,TG_Taenikon_rural
1998,TI,2.4714,TI_Lugano_urban
1999,TI,1.2096,TI_Lugano_urban
2000,TI,3.2734,TI_Lugano_urban
2001,TI,1.0512,TI_Lugano_urban
2002,TI,-0.2378,TI_Lugano_urban
2003,TI,0.3643,TI_Lugano_urban
2004,TI,2.4097,TI_Lugano_urban
2005,TI,3.277,TI_Lugano_urban
2006,TI,3.7049,TI_Lugano_urban
2007,TI,3.4515,TI_Lugano_urban
2008,TI,2.1647,TI_Lugano_urban
2009,TI,-2.2744,TI_Lugano_urban
2010,TI,2.4531,TI_Lugano_urban
2011,TI,1.8031,TI_Lugano_urban
2012,TI,1.226,TI_Lugano_urban
2013,TI,3.6227,TI_Lugano_urban
2014,TI,2.4781,TI_Lugano_urban
2015,TI,1.1519,TI_Lugano_urban
2016,TI,0.4278,TI_Lugano_urban
2017,TI,-0.9664,TI_Lugano_urban
2018,TI,3.4376,TI_Lugano_urban
2019,TI,1.5917,TI_Lugano_urban
2020,TI,-5.8985,TI_Lugano_urban
2021,TI,12.895,TI_Lugano_urban
2022,TI,4.2783,TI_Lugano_urban
2023,TI,0.901,TI_Lugano_urban
2024,TI,0.9049,TI_Lugano_urban
1998,VD,2.8497,VD_Lausanne_urban
1999,VD,1.4651,VD_Lausanne_urban
2000,VD,3.2275,VD_Lausanne_urban
2001,VD,1.9854,VD_Lausanne_urban
2002,VD,0.2054,VD_Lausanne_urban
2003,VD,0.6401,VD_Lausanne_urban
2004,VD,3.2554,VD_Lausanne_urban
2005,VD,2.9212,VD_Lausanne_urban
2006,VD,3.8039,VD_Lausanne_urban
2007,VD,4.4974,VD_Lausanne_urban
2008,VD,3.9127,VD_Lausanne_urban
2009,VD,2.1038,VD_Lausanne_urban
2010,VD,4.6104,VD_Lausanne_urban
2011,VD,2.8326,VD_Lausanne_urban
2012,VD,1.2184,VD_Lausanne_urban
2013,VD,1.4236,VD_Lausanne_urban
2014,VD,2.6627,VD_Lausanne_urban
2015,VD,1.5928,VD_Lausanne_urban
2016,VD,3.237,VD_Lausanne_urban
2017,VD,-0.7166,VD_Lausanne_urban
2018,VD,4.2925,VD_Lausanne_urban
2019,VD,1.0491,VD_Lausanne_urban
2020,VD,-3.194,VD_Lausanne_urban
2021,VD,8.4641,VD_Lausanne_urban
2022,VD,-1.3047,VD_Lausanne_urban
2023,VD,1.5548,VD_Lausanne_urban
2024,VD,0.9575,VD_Lausanne_urban
1998,VS,1.5383,VS_Saxon_rural
1999,VS,0.2392,VS_Saxon_rural
2000,VS,2.2317,VS_Saxon_rural
2001,VS,2.069,VS_Saxon_rural
2002,VS,-0.5768,VS_Saxon_rural
2003,VS,-0.4233,VS_Saxon_rural
2004,VS,1.9143,VS_Saxon_rural
2005,VS,2.6033,VS_Saxon_rural
2006,VS,3.802,VS_Saxon_rural
2007,VS,4.0373,VS_Saxon_rural
2008,VS,3.7633,VS_Saxon_rural
2009,VS,1.5185,VS_Saxon_rural
2010,VS,3.1476,VS_Saxon_rural
2011,VS,1.8104,VS_Saxon_rural
2012,VS,0.1374,VS_Saxon_rural
