year,canton,pop,Name
1992,Valais / Wallis,257730,VS_Saxon_rural
1992,Neuchâtel,161774,NE_Chaumont_rural
1992,Genève,381404,GE_Meyrin_suburban
1993,Zürich,1158077,ZH_Zuerich_urban
1993,Bern / Berne,937995,BE_Bern_urban
1993,Luzern,331830,LU_Rigi_rural
1993,Basel-Stadt,196634,BS_Basel_urban
1993,Basel-Landschaft,248488,BL_BaselBinningen_suburban
1993,Thurgau,213167,TG_Taenikon_rural
1993,Ticino,294108,TI_Lugano_urban
1993,Vaud,593007,VD_Lausanne_urban
1993,Valais / Wallis,262389,VS_Saxon_rural
1993,Neuchâtel,162581,NE_Chaumont_rural
1993,Genève,383911,GE_Meyrin_suburban
1994,Zürich,1162083,ZH_Zuerich_urban
1994,Bern / Berne,941017,BE_Bern_urban
1994,Luzern,335385,LU_Rigi_rural
1994,Basel-Stadt,197403,BS_Basel_urban
1994,Basel-Landschaft,250380,BL_BaselBinningen_suburban
1994,Thurgau,217129,TG_Taenikon_rural
1994,Ticino,297955,TI_Lugano_urban
1994,Vaud,596736,VD_Lausanne_urban
1994,Valais / Wallis,266713,VS_Saxon_rural
1994,Neuchâtel,163884,NE_Chaumont_rural
1994,Genève,387606,GE_Meyrin_suburban
1995,Zürich,1168567,ZH_Zuerich_urban
1995,Bern / Berne,941614,BE_Bern_urban
1995,Luzern,337941,LU_Rigi_rural
1995,Basel-Stadt,197054,BS_Basel_urban
1995,Basel-Landschaft,251259,BL_BaselBinningen_suburban
1995,Thurgau,220335,TG_Taenikon_rural
1995,Ticino,302131,TI_Lugano_urban
1995,Vaud,602099,VD_Lausanne_urban
1995,Valais / Wallis,269341,VS_Saxon_rural
1995,Neuchâtel,164176,NE_Chaumont_rural
1995,Genève,391699,GE_Meyrin_suburban
1996,Zürich,1175457,ZH_Zuerich_urban
1996,Bern / Berne,941823,BE_Bern_urban
1996,Luzern,340536,LU_Rigi_rural
1996,Basel-Stadt,195759,BS_Basel_urban
1996,Basel-Landschaft,252331,BL_BaselBinningen_suburban
1996,Thurgau,223372,TG_Taenikon_rural
1996,Ticino,305199,TI_Lugano_urban
1996,Vaud,605677,VD_Lausanne_urban
1996,Valais / Wallis,271291,VS_Saxon_rural
1996,Neuchâtel,165258,NE_Chaumont_rural
1996,Genève,395466,GE_Meyrin_suburban
1997,Zürich,1178848,ZH_Zuerich_urban
1997,Bern / Berne,940872,BE_Bern_urban
1997,Luzern,341809,LU_Rigi_rural
1997,Basel-Stadt,194913,BS_Basel_urban
1997,Basel-Landschaft,253911,BL_BaselBinningen_suburban
1997,Thurgau,224822,TG_Taenikon_rural
1997,Ticino,304830,TI_Lugano_urban
1997,Vaud,606471,VD_Lausanne_urban
1997,Valais / Wallis,272315,VS_Saxon_rural
1997,Neuchâtel,165232,NE_Chaumont_rural
1997,Genève,394588,GE_Meyrin_suburban
1998,Zürich,1181614,ZH_Zuerich_urban
1998,Bern / Berne,938592,BE_Bern_urban
1998,Luzern,342916,LU_Rigi_rural
1998,Basel-Stadt,193053,BS_Basel_urban
1998,Basel-Landschaft,255305,BL_BaselBinningen_suburban
1998,Thurgau,225395,TG_Taenikon_rural
1998,Ticino,305588,TI_Lugano_urban
1998,Vaud,608153,VD_Lausanne_urban
1998,Valais / Wallis,273362,VS_Saxon_rural
1998,Neuchâtel,165410,NE_Chaumont_rural
1998,Genève,396659,GE_Meyrin_suburban
1999,Zürich,1187609,ZH_Zuerich_urban
1999,Bern / Berne,941091,BE_Bern_urban
1999,Luzern,343254,LU_Rigi_rural
1999,Basel-Stadt,190505,BS_Basel_urban
1999,Basel-Landschaft,256761,BL_BaselBinningen_suburban
1999,Thurgau,226479,TG_Taenikon_rural
1999,Ticino,306179,TI_Lugano_urban
1999,Vaud,611613,VD_Lausanne_urban
1999,Valais / Wallis,274458,VS_Saxon_rural
1999,Neuchâtel,165594,NE_Chaumont_rural
1999,Genève,398910,GE_Meyrin_suburban
2000,Zürich,1198569,ZH_Zuerich_urban
2000,Bern / Berne,943372,BE_Bern_urban
2000,Luzern,345357,LU_Rigi_rural
2000,Basel-Stadt,188458,BS_Basel_urban
2000,Basel-Landschaft,258602,BL_BaselBinningen_suburban
2000,Thurgau,227285,TG_Taenikon_rural
2000,Ticino,308498,TI_Lugano_urban
2000,Vaud,616275,VD_Lausanne_urban
2000,Valais / Wallis,275632,VS_Saxon_rural
2000,Neuchâtel,165649,NE_Chaumont_rural
2000,Genève,403067,GE_Meyrin_suburban
2001,Zürich,1209672,ZH_Zuerich_urban
